node_id	soil_moisture	temperature	humidity
1	45.20	28.50	65.00
1	25.00	30.00	60.00
1	45.70	19.90	87.00
1	45.00	33.10	62.30
1	59.60	22.60	27.10
1	64.80	38.00	42.30
1	25.80	18.90	30.70
1	61.30	28.00	34.10
1	15.40	31.10	66.90
1	26.40	32.60	24.50
1	31.00	37.80	68.80
1	54.60	35.80	51.20
1	61.00	27.50	86.50
1	36.70	37.00	39.70
1	60.20	31.70	58.80
1	75.10	34.90	73.10
1	78.20	33.50	89.60
1	29.70	25.00	75.30
1	61.30	34.10	29.70
1	67.60	21.30	80.60
1	46.70	25.00	74.00
1	68.20	34.10	80.10
1	34.00	19.70	35.80
1	36.50	16.30	59.10
1	32.30	36.90	44.80
1	64.70	28.90	51.90
1	68.50	19.70	32.40
1	21.30	19.70	57.10
1	63.70	27.60	49.00
1	50.80	25.30	42.40
1	65.10	33.50	86.00
1	62.20	31.20	45.00
1	42.70	28.90	26.60
1	43.90	37.20	49.10
1	32.10	19.10	46.60
1	24.70	17.00	87.50
1	41.80	17.10	27.20
1	16.80	32.40	45.00
1	16.60	35.40	33.00
1	38.80	28.80	84.00
1	54.70	22.30	62.60
1	38.90	22.50	72.90
1	39.80	29.40	51.70
1	55.60	36.90	42.50
1	35.20	18.40	36.50
1	28.20	27.50	67.10
1	35.90	32.20	64.40
1	51.20	29.80	25.60
1	31.00	38.30	87.90
1	41.50	32.40	63.00
1	76.00	17.50	32.80
1	71.40	23.20	29.80
1	56.30	23.10	37.00
1	27.10	39.50	36.10
1	37.50	24.80	78.70
1	24.40	16.90	29.60
1	36.80	37.50	33.60
1	68.50	27.50	88.50
1	44.10	32.90	77.20
1	25.20	22.60	88.80
1	25.80	26.10	78.60
1	50.40	37.40	41.10
1	32.10	39.90	84.90
1	38.80	38.20	41.00
1	31.30	22.80	72.10
1	67.60	32.10	29.40
1	48.80	19.00	78.60
1	35.20	18.60	41.60
1	17.80	26.30	78.00
1	73.70	17.00	40.10
1	44.80	33.60	70.10
1	62.40	25.00	74.70
1	77.70	22.00	28.70
1	49.80	28.90	85.10
1	24.10	19.10	62.80
1	45.10	26.10	39.90
1	35.60	17.40	62.70
1	36.00	24.60	44.00
1	47.30	36.60	71.20
1	33.40	19.20	27.10
1	60.70	37.30	45.70
1	16.90	36.70	83.70
1	30.80	36.30	75.90
1	41.00	23.30	75.60
1	17.50	21.90	86.80
1	68.30	27.30	70.80
1	57.70	16.70	37.90
1	24.50	38.20	86.70
1	37.40	20.50	33.00
1	34.10	36.90	70.60
1	28.50	35.40	26.00
1	32.30	16.90	56.10
1	51.00	23.10	36.70
1	45.80	19.60	45.70
1	17.70	17.50	63.80
1	70.80	24.10	47.60
1	62.80	22.10	71.60
1	19.60	16.70	34.90
1	18.70	36.70	38.20
1	59.60	34.30	46.70
1	55.70	25.30	84.70
1	37.30	27.30	61.80
1	51.20	31.10	74.80
1	45.90	35.80	84.20
1	54.00	18.50	46.70
1	21.20	15.80	34.70
1	20.40	29.60	60.00
